APK,WID,Widget,Layout,Parent,Method,Permission
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.bh: void run()>","<android.telephony.TelephonyManager: int getSimState()>","<android.permission.ACCESS_NETWORK_STATE>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.bh: void run()>","<android.telephony.TelephonyManager: java.lang.String getDeviceId()>","<android.permission.READ_PHONE_STATE>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.bh: void run()>","<android.telephony.TelephonyManager: java.lang.String getLine1Number()>","<android.permission.ACCESS_NETWORK_STATE>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.bh: void run()>","<android.telephony.TelephonyManager: java.lang.String getSimSerialNumber()>","<android.permission.ACCESS_NETWORK_STATE>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.bh: void run()>","<android.telephony.TelephonyManager: java.lang.String getSubscriberId()>","<android.permission.ACCESS_NETWORK_STATE>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.bj: void <init>(biz.nlnrnqn.noknlnkno.bg)>","<android.telephony.TelephonyManager: java.lang.String getDeviceId()>","<android.permission.READ_PHONE_STATE>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.bk: boolean accept(java.io.File)>","<android.telephony.TelephonyManager: java.lang.String getDeviceId()>","<android.permission.READ_PHONE_STATE>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.bl: void run()>","<android.app.ActivityManager: java.util.List getRunningTasks(int)>","<android.permission.GET_TASKS>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.bl: void run()>","<android.net.ConnectivityManager: android.net.NetworkInfo getActiveNetworkInfo()>","<android.permission.ACCESS_NETWORK_STATE>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.bl: void run()>","<android.telephony.TelephonyManager: int getSimState()>","<android.permission.ACCESS_NETWORK_STATE>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.bl: void run()>","<android.telephony.TelephonyManager: java.lang.String getDeviceId()>","<android.permission.READ_PHONE_STATE>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.bl: void run()>","<android.telephony.TelephonyManager: java.lang.String getLine1Number()>","<android.permission.ACCESS_NETWORK_STATE>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.bl: void run()>","<android.telephony.TelephonyManager: java.lang.String getSimSerialNumber()>","<android.permission.ACCESS_NETWORK_STATE>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.bl: void run()>","<android.telephony.TelephonyManager: java.lang.String getSubscriberId()>","<android.permission.ACCESS_NETWORK_STATE>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.bm: void run()>","<android.app.ActivityManager: java.util.List getRunningTasks(int)>","<android.permission.GET_TASKS>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.bm: void run()>","<android.net.ConnectivityManager: android.net.NetworkInfo getActiveNetworkInfo()>","<android.permission.ACCESS_NETWORK_STATE>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.bm: void run()>","<android.telephony.TelephonyManager: int getSimState()>","<android.permission.ACCESS_NETWORK_STATE>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.bm: void run()>","<android.telephony.TelephonyManager: java.lang.String getDeviceId()>","<android.permission.READ_PHONE_STATE>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.bm: void run()>","<android.telephony.TelephonyManager: java.lang.String getLine1Number()>","<android.permission.ACCESS_NETWORK_STATE>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.bm: void run()>","<android.telephony.TelephonyManager: java.lang.String getSimSerialNumber()>","<android.permission.ACCESS_NETWORK_STATE>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.bm: void run()>","<android.telephony.TelephonyManager: java.lang.String getSubscriberId()>","<android.permission.ACCESS_NETWORK_STATE>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.bn: biz.nlnrnqn.noknlnkno.bo a(android.content.Context,java.io.File)>","<android.telephony.TelephonyManager: java.lang.String getDeviceId()>","<android.permission.READ_PHONE_STATE>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.bn: org.json.JSONObject b(android.content.Context,java.io.File)>","<android.telephony.TelephonyManager: java.lang.String getDeviceId()>","<android.permission.READ_PHONE_STATE>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.bs: boolean a(android.content.Context)>","<android.net.ConnectivityManager: android.net.NetworkInfo getActiveNetworkInfo()>","<android.permission.ACCESS_NETWORK_STATE>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.bs: int b(android.content.Context)>","<android.net.ConnectivityManager: android.net.NetworkInfo getActiveNetworkInfo()>","<android.permission.ACCESS_NETWORK_STATE>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.bt: biz.nlnrnqn.noknlnkno.cd a(boolean)>","<android.net.ConnectivityManager: android.net.NetworkInfo getActiveNetworkInfo()>","<android.permission.ACCESS_NETWORK_STATE>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.bv: boolean a(java.lang.String,org.json.JSONObject)>","<android.net.ConnectivityManager: android.net.NetworkInfo getActiveNetworkInfo()>","<android.permission.ACCESS_NETWORK_STATE>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.bv: boolean a(java.lang.String,org.json.JSONObject)>","<android.telephony.TelephonyManager: java.lang.String getDeviceId()>","<android.permission.READ_PHONE_STATE>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.bv: void run()>","<android.net.ConnectivityManager: android.net.NetworkInfo getActiveNetworkInfo()>","<android.permission.ACCESS_NETWORK_STATE>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.bv: void run()>","<android.telephony.TelephonyManager: java.lang.String getDeviceId()>","<android.permission.READ_PHONE_STATE>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.bw: void run()>","<android.net.ConnectivityManager: android.net.NetworkInfo getActiveNetworkInfo()>","<android.permission.ACCESS_NETWORK_STATE>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.bw: void run()>","<android.telephony.TelephonyManager: java.lang.String getDeviceId()>","<android.permission.READ_PHONE_STATE>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.d: void run()>","<android.app.ActivityManager: java.util.List getRunningTasks(int)>","<android.permission.GET_TASKS>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.d: void run()>","<android.net.ConnectivityManager: android.net.NetworkInfo getActiveNetworkInfo()>","<android.permission.ACCESS_NETWORK_STATE>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.d: void run()>","<android.telephony.TelephonyManager: int getSimState()>","<android.permission.ACCESS_NETWORK_STATE>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.d: void run()>","<android.telephony.TelephonyManager: java.lang.String getDeviceId()>","<android.permission.READ_PHONE_STATE>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.d: void run()>","<android.telephony.TelephonyManager: java.lang.String getLine1Number()>","<android.permission.ACCESS_NETWORK_STATE>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.d: void run()>","<android.telephony.TelephonyManager: java.lang.String getSimSerialNumber()>","<android.permission.ACCESS_NETWORK_STATE>"
biz.nlnrnqn.noknlnkno.apk,~undefined,~undefined,~undefined,"<biz.nlnrnqn.noknlnkno.d: void run()>","<android.telephony.TelephonyManager: java.lang.String getSubscriberId()>","<android.permission.ACCESS_NETWORK_STATE>"
